"SampleID","HBG2","STMN2","PRG2","S100A2","PSG5","Cluster"
"SRR1274288",-1,2.76634073311638,-1,2.42104821242356,11.2780854280048,"C4"
"SRR1274289",-1,4.82529718539685,-1,-1,11.1823790200324,"C4"
"SRR1274290",-1,-1,-1,1.21356503058917,10.657119942527,"C4"
"SRR1274291",-1,-1,-1,4.92216929873972,10.2944189182786,"C4"
"SRR1274292",-1,-1,-1,3.32988421999714,10.8014083926474,"C4"
"SRR1274293",-1,-1,-1,-1,10.7358272758469,"C4"
"SRR1274294",-1,-1,-1,2.8158418110231,11.455253593711,"C4"
"SRR1274295",-1,-1,-1,-1,11.5675042358343,"C4"
"SRR1274296",-1,-1,-1,3.29163302454012,9.43314223724977,"C4"
"SRR1274297",-1,-1,-1,-1,9.72214647175162,"C4"
"SRR1274298",-1,-1,-1,1.43781364818791,10.869775652998,"C4"
"SRR1274299",-1,-1,-1,-1,11.0607238262237,"C4"
"SRR1274300",-1,-1,-1,-1,11.5275478684057,"C4"
"SRR1274301",-1,-1,-1,-1,11.4754422791036,"C4"
"SRR1274302",-1,-1,-1,-1,10.3863398773995,"C4"
"SRR1274303",-1,-1,-1,-1,10.2727354465643,"C4"
"SRR1274304",-1,2.20907899618453,-1,1.87833298492591,9.66803240801648,"C4"
"SRR1274305",-1,4.19218627305694,-1,-1,9.44638092993445,"C4"
"SRR1274306",-1,-1,-1,-1,9.63151194767297,"C4"
"SRR1274308",-1,-1,-1,-1,10.5047053945081,"C4"
"SRR1274309",-1,-1,-1,-1,10.4994797866595,"C4"
"SRR1274310",-1,-1,-1,3.91675369171672,11.050862162921,"C4"
"SRR1274311",-1,-1,-1,4.6612080315625,11.220961334397,"C4"
"SRR1274312",-1,-1,-1,-1,0.306962124140456,"C4"
"SRR1274313",-1,-1,-1,-1,-1,"C4"
"SRR1274314",-1,-1,-1,4.82185304905696,11.0957039914175,"C4"
"SRR1274315",-1,-1,-1,5.77259830079109,11.0329767708331,"C4"
"SRR1274316",-1,-1,-1,-1,10.44445194011,"C4"
"SRR1274317",-1,-1,-1,-1,10.9724897607479,"C4"
"SRR1274320",-1,-1,-1,0.801903614678655,10.6874322877662,"C4"
"SRR1274321",-1,-1,-1,-1,10.8557839547493,"C4"
"SRR1274322",-1,4.56470130581929,-1,-1,10.5831630821881,"C4"
"SRR1274323",-1,4.45331344087462,-1,-1,10.68853165095,"C4"
"SRR1274326",-1,-1,-1,-1,10.7306644081679,"C4"
"SRR1274327",-1,-1,-1,-1,10.7424566457905,"C4"
"SRR1274328",-1,-1,-1,1.86488936446975,12.3427401493072,"C4"
"SRR1274329",-1,-1,-1,-1,12.4056559432615,"C4"
"SRR1274330",-1,8.34160377018642,-1,1.07669590183038,11.2450951068461,"C4"
"SRR1274331",-1,7.99946565304889,-1,-1,11.0248841604979,"C4"
"SRR1274332",-1,-1,-1,2.97997044387108,9.85688192078207,"C4"
"SRR1274333",-1,-1,-1,-1,10.1151271653473,"C4"
"SRR1274334",-1,6.93492924769235,-1,-1,8.56608639376565,"C4"
"SRR1274335",-1,7.0599371015067,-1,-1,8.40455447752708,"C4"
"SRR1274336",-1,-1,-1,1.76867131759657,2.02094661351356,"C4"
"SRR1274337",-1,-1,-1,-1,-1,"C4"
"SRR1274338",-1,-1,-1,4.88733517339843,11.2594196212448,"C4"
"SRR1274339",-1,-1,-1,-1,11.111000655837,"C4"
"SRR1274340",-1,4.66724498075874,5.25038180279612,0.87860764571753,10.1486425778902,"C4"
"SRR1274341",-1,5.00196433409429,6.73976036127971,-1,10.3950277645391,"C4"
"SRR1274342",-1,6.86661006398557,-1,-1,10.4818994079768,"C4"
"SRR1274343",-1,6.68650192785734,-1,-1,10.5813290250345,"C4"
"SRR1274344",12.8342357039997,-1,-1,-1,-1,"C0"
"SRR1274345",13.3303731327732,-1,-1,-1,-1,"C0"
"SRR1274346",11.2085047011327,-1,-1,-1,-1,"C0"
"SRR1274347",10.9905743589522,-1,-1,-1,-1,"C0"
"SRR1274348",13.7958686438006,-1,-1,-1,-1,"C0"
"SRR1274349",13.8435860351675,-1,-1,-1,-1,"C0"
"SRR1274350",12.7803134828168,-1,-1,-1,-1,"C0"
"SRR1274351",12.2563214278496,-1,-1,-1,-1,"C0"
"SRR1274352",12.9921929222656,-1,2.07450543636363,-1,-1,"C0"
"SRR1274353",13.3403024439188,-1,-1,-1,-1,"C0"
"SRR1274354",15.8662871664599,-1,-1,-1,-1,"C0"
"SRR1274355",16.171662737772,-1,-1,-1,-1,"C0"
"SRR1274356",13.3937506169666,-1,-1,-1,-1,"C0"
"SRR1274357",13.6160691138717,-1,-1,-1,-1,"C0"
"SRR1274358",13.4213243274783,-1,-1,-1,-1,"C0"
"SRR1274359",13.7154267557648,-1,-1,-1,-1,"C0"
"SRR1274360",14.081078176609,-1,5.44762878420633,-1,-1,"C0"
"SRR1274361",14.36261647488,-1,6.25956250362476,-1,-1,"C0"
"SRR1274362",13.0030322999112,-1,4.1684173991813,-1,-1,"C0"
"SRR1274363",13.2921286565584,-1,-1,-1,-1,"C0"
"SRR1274364",14.9068639017463,-1,5.75367673340235,-1,-1,"C0"
"SRR1274365",15.1551885114163,-1,6.82330099557427,-1,-1,"C0"
"SRR1274366",11.8121196928491,-1,-1,-1,-1,"C0"
"SRR1274367",10.9568801774844,-1,-1,-1,-1,"C0"
"SRR1274368",15.2852088784142,-1,-1,-1,-1,"C0"
"SRR1274369",15.5695617538664,-1,-1,-1,-1,"C0"
"SRR1274370",12.3570962246329,-1,8.86038151942225,-1,-1,"C0"
"SRR1274371",12.8982131338169,-1,9.4545697093271,-1,-1,"C0"
"SRR1274372",14.285560821343,-1,5.90373003852184,-1,-1,"C0"
"SRR1274373",14.5717373704767,-1,6.25489633639012,-1,-1,"C0"
"SRR1274374",14.8329855974543,-1,7.06384157349622,-1,-1,"C0"
"SRR1274375",15.2568525082374,-1,7.13637290141346,-1,-1,"C0"
"SRR1274376",12.6052865516404,-1,-1,-1,-1,"C0"
"SRR1274377",12.9304870429996,-1,-1,-1,-1,"C0"
"SRR1274378",12.3648979430337,-1,-1,-1,-1,"C0"
"SRR1274379",11.7733531219244,-1,-1,-1,-1,"C0"
"SRR1274380",10.1317387885015,-1,8.23637350502089,-1,-1,"C0"
"SRR1274381",9.74162759526157,-1,8.84306051517071,-1,-1,"C0"
"SRR1274382",15.0540348896148,-1,-1,-1,-1,"C0"
"SRR1274383",15.2662230791945,-1,-1,-1,-1,"C0"
"SRR1274384",14.9140158942021,-1,2.06849884629981,-1,-1,"C0"
"SRR1274385",15.2229067526708,-1,-1,-1,-1,"C0"
"SRR1274386",15.423084229351,-1,-1,-1,-1,"C0"
"SRR1274387",15.7578054510301,-1,-1,-1,-1,"C0"
"SRR1274388",14.2683135457515,-1,-1,-1,-1,"C0"
"SRR1274389",14.6879698908223,-1,-1,-1,-1,"C0"
"SRR1274390",12.1941592801352,-1,-1,-1,-1,"C0"
"SRR1274391",11.3596998227181,-1,-1,-1,-1,"C0"
"SRR1274392",14.979229705484,-1,-1,-1,-1,"C0"
"SRR1274393",15.2155584764656,-1,-1,-1,-1,"C0"
"SRR1274394",15.6053395736752,-1,2.56193705962243,-1,-1,"C0"
"SRR1274395",15.799013973022,-1,-1,-1,-1,"C0"
"SRR1274396",15.0202780381605,-1,-1,-1,-1,"C0"
"SRR1274397",15.3552950360333,-1,-1,-1,-1,"C0"
"SRR1274398",13.7922866964949,-1,-1,-1,-1,"C0"
"SRR1274399",14.048110825146,-1,-1,-1,-1,"C0"
"SRR1274400",14.1055306680617,-1,-1,-1,-1,"C0"
"SRR1274401",14.5110766397201,-1,-1,-1,-1,"C0"
"SRR1274402",14.7979951054483,-1,-1,-1,-1,"C0"
"SRR1274403",15.0805345516263,-1,-1,-1,-1,"C0"
"SRR1274404",15.9433799429147,-1,8.83955150499501,-1,-1,"C0"
"SRR1274405",16.2593930112958,-1,9.38785211960803,-1,-1,"C0"
"SRR1274406",14.1345444568979,-1,-1,-1,-1,"C0"
"SRR1274407",14.3911820882721,-1,-1,-1,-1,"C0"
"SRR1274408",16.5572779962103,-1,5.16088792719784,-1,-1,"C0"
"SRR1274409",16.8154951926598,-1,6.9114483162698,-1,-1,"C0"
"SRR1274410",-1,-1,-1,14.216416091952,0.962067735839762,"C3"
"SRR1274411",-1,-1,-1,14.4888595438694,-1,"C3"
"SRR1274412",-1,-1,-1,12.5474239937883,-1,"C3"
"SRR1275003",15.359502128297,-1,-1,-1,-1,"C0"
"SRR1275004",15.1925870534064,-1,5.72296869425251,-1,-1,"C0"
"SRR1275005",15.501923171939,-1,7.09915841958977,-1,-1,"C0"
"SRR1275006",14.8662913181166,-1,-1,-1,-1,"C0"
"SRR1275007",15.0089669410174,-1,-1,-1,-1,"C0"
"SRR1275008",13.3004744720608,-1,-1,-1,-1,"C0"
"SRR1275009",13.6059392806891,-1,-1,-1,-1,"C0"
"SRR1275010",14.5304520607356,-1,-1,-1,-1,"C0"
"SRR1275011",14.6635182561097,-1,-1,-1,-1,"C0"
"SRR1275012",13.5869446679852,-1,-1,-1,-1,"C0"
"SRR1275013",13.7773528479444,-1,-1,-1,-1,"C0"
"SRR1275014",13.7743671285329,-1,-1,-1,-1,"C0"
"SRR1275015",13.9112105627785,-1,-1,-1,-1,"C0"
"SRR1275016",15.4123245883103,-1,3.93843635885169,-1,-0.11153923044196,"C0"
"SRR1275017",15.571511831609,-1,-1,-1,-1,"C0"
"SRR1275018",15.0472863638264,-1,2.692873507464,-1,-1,"C0"
"SRR1275019",15.1662666902324,-1,-1,-1,-1,"C0"
"SRR1275020",13.7046724274864,-1,-1,-1,-0.122177238171525,"C0"
"SRR1275021",13.7468396466171,-1,-1,-1,-1,"C0"
"SRR1275022",15.0058393586324,-1,-1,-1,-1,"C0"
"SRR1275023",15.130058007763,-1,-1,-1,-1,"C0"
"SRR1275024",15.0118895661845,-1,-1,-1,-1,"C0"
"SRR1275025",14.9696096046495,-1,-1,-1,-1,"C0"
"SRR1275026",15.1155658536875,-1,0.36938272533894,-1,-1,"C0"
"SRR1275027",15.1934838523912,-1,-1,-1,-1,"C0"
"SRR1275028",-1,-1,1.09173367995776,13.6895869587502,-1,"C3"
"SRR1275029",-1,-1,-1,12.6954802190454,-1,"C3"
"SRR1275030",-1,-1,-1,14.1943398112763,-1,"C3"
"SRR1275031",-1,-1,-1,14.4711126695611,-1,"C3"
"SRR1275032",-1,-1,-1,13.3659372529459,0.591392189598115,"C3"
"SRR1275033",-1,-1,-1,12.4189376081844,-1,"C3"
"SRR1275034",-1,-1,0.497433534432732,13.8823207376015,-1,"C3"
"SRR1275035",-1,-1,-1,14.2171548466942,-1,"C3"
"SRR1275036",-1,-1,1.30731193906419,13.8660418593859,-1,"C3"
"SRR1275037",-1,-1,-1,12.9121005583481,-1,"C3"
"SRR1275038",-1,-1,1.66748343618049,13.4069568820263,-1,"C3"
"SRR1275039",-1,-1,-1,12.9931557327955,-1,"C3"
"SRR1275040",-1,-1,-1,13.8241641845378,-1,"C3"
"SRR1275041",-1,-1,-1,13.8835551242408,-1,"C3"
"SRR1275042",-1,-1,-1,13.7601827865782,-1,"C3"
"SRR1275043",-1,-1,-1,13.9148825332488,-1,"C3"
"SRR1275044",14.9916732112823,-1,7.46686689678043,-1,-1,"C0"
"SRR1275045",15.0102214394089,-1,7.60133475753486,-1,-1,"C0"
"SRR1275046",15.0724463461702,-1,-1,-1,-1,"C0"
"SRR1275047",15.5654326402453,-1,-1,-1,-1,"C0"
"SRR1275048",13.8673289879492,-1,6.37358731481741,-1,-1,"C0"
"SRR1275049",14.0760243524247,-1,6.90915625135265,-1,-1,"C0"
"SRR1275050",14.7269074638324,-1,-1,-1,-1,"C0"
