Symbol,logFC,P.Value,adj.P.Val
LRRC4B,0.707046444386154,0.273128062915639,0.329422172822214
PSD3,0.70669317578428,2.16025459583535e-07,6.95746071490915e-07
YAF2,0.706652439581186,2.1124210667095e-12,1.35950634811228e-11
CDYL,0.706269585581422,4.28373287634686e-14,3.53901654917344e-13
ZNF490,0.706234883558726,0.020430101819557,0.0314821196951552
SRCAP,0.706160045169508,6.23576438629078e-15,5.95400495039383e-14
PXK,0.705979389704902,8.74132264559168e-07,2.5839932033075e-06
TTC21A,0.705140827405451,6.42560875536349e-05,0.00014777948665161
C5orf45,0.705013579655424,4.9655122504609e-10,2.25605904009593e-09
KIAA1432,0.704878624329234,1.40341867586314e-11,8.01376142179451e-11
RAB3GAP1,0.704844424124905,5.32017355860072e-14,4.31306632384516e-13
SOS1,0.70465208960047,4.25175350648316e-13,3.00281098347227e-12
MYNN,0.703976216074074,3.80654829440324e-11,2.03693503046476e-10
ZFYVE26,0.703944429678049,2.82428994978664e-13,2.05140748574136e-12
ZCCHC2,0.703905393574016,2.60828261248575e-12,1.65126261316269e-11
MIER1,0.703830839206595,4.54877297726685e-14,3.73809659392855e-13
HIST2H2AA4,0.70345514790845,6.41521906108641e-09,2.52091193043493e-08
SH2D5,0.703274632316952,1.3816049043192e-06,3.97996170119029e-06
C11orf54,0.703155698243737,1.5527725561957e-10,7.63200814936061e-10
GLIS2,0.702944114898787,7.78612787581293e-12,4.60253255151923e-11
PRDM4,0.702248520795763,3.50897288920773e-14,2.93669675388656e-13
KIAA1033,0.70188392817827,1.06196179900546e-14,9.622189601295e-14
GNL2,0.70139644831934,1.09638017023933e-15,1.17699322800116e-14
DNAJB12,0.701021006254667,2.68385617886618e-14,2.27578305103311e-13
LIN52,0.700948898114197,2.33991278135362e-11,1.28684846323012e-10
CDA,0.70090198925417,8.44482192071505e-14,6.63832100203657e-13
SCYL2,0.70087279114099,8.8364517513361e-15,8.15719602483418e-14
VAV2,0.700508257268141,4.44849366660623e-16,5.12745979951806e-15
ACSL4,0.700330112448761,1.6809755316716e-15,1.75321891210382e-14
ZNF407,0.700014257803787,4.15998263898308e-09,1.67749364832035e-08
PPP1R13B,0.699963715041071,2.19840996399765e-12,1.40997814552609e-11
TSSK4,0.699707011129244,0.0317803070162513,0.0471856418520586
CASKIN2,0.699438709042632,8.14084643784138e-14,6.41832046990219e-13
DPH2,0.699406363047966,8.89580586477576e-14,6.95178321625538e-13
SP2,0.699395901054119,1.3409523065004e-11,7.68059898234619e-11
SNORD12C,0.699280851343074,0.100895403060115,0.134821373833842
C11orf30,0.699277177891905,8.76935361340934e-14,6.86447764160955e-13
ZNF131,0.699204558404354,3.34229339165802e-16,3.9277215784188e-15
RNF24,0.699064538379512,8.34977274133037e-11,4.26014411040009e-10
M6PR,0.699033264893136,9.00576673203502e-16,9.82150265369624e-15
ADIRF-AS1,0.698825202785279,1.26857242549378e-12,8.39618354629017e-12
ZBTB38,0.697948433788419,2.25572497892215e-16,2.71766012651267e-15
ZSCAN29,0.697323986873255,1.16511455249855e-11,6.7272010624126e-11
KLHL15,0.696677146501982,1.39953246619055e-12,9.21062362459724e-12
ZDHHC8,0.696508632487377,3.03053465120976e-12,1.89795379130536e-11
ATXN7L3,0.696382310013112,6.41917118750192e-15,6.11659062334666e-14
CCNL2,0.69632318422244,6.09617541890237e-16,6.89444887484845e-15
FAR1,0.696065956175935,2.20003106498938e-14,1.89308305582974e-13
UPF2,0.695482188837761,9.5963810119892e-14,7.4617167001024e-13
BRD9,0.695350046044481,9.28887553899843e-16,1.00948141280381e-14
GAS5,0.695037178647036,1.95666353084444e-17,2.87151928251012e-16
TSC22D2,0.694722638844488,3.57546746199278e-12,2.21393895536948e-11
LRIG2,0.69447354578604,8.42933969803041e-08,2.87266471552187e-07
SRP54,0.694241985233723,5.23882362455616e-15,5.07226985529754e-14
PITHD1,0.694174249854455,1.34839307877251e-14,1.20303256113749e-13
RND2,0.694007284200082,0.265976437015819,0.321754321613606
TRIM3,0.693814282283366,1.14835975649508e-11,6.63457195956457e-11
USP24,0.693795191367213,1.9569748423095e-15,2.01737262781883e-14
PCDH12,0.693375725529434,0.069684570187881,0.096398799017422
HIST1H1PS1,0.693272722855929,0.00065325406449954,0.0013036870340537
CCDC112,0.693031830963643,2.48355688267747e-09,1.03391854320622e-08
EHD4,0.692692481631863,8.1983469965254e-12,4.8324095927021e-11
TIPARP,0.692384438470597,3.05116745074269e-16,3.60606588122653e-15
NIFKP1,0.692174148278618,0.000758085516194191,0.00149546971325437
JAK1,0.692102376184677,2.45068120800362e-17,3.50985825800529e-16
IKBKB,0.69194359367535,2.59974330439753e-14,2.20847838228628e-13
COA7,0.691843181739551,9.62907890594824e-13,6.48128467493909e-12
SNORD12B,0.690860835521841,0.0474164606048791,0.067907483690928
